cleaned_comment,topic,trump_sentiment,harris_sentiment
take close look full video trump trying grab handle climb garbage truck missed twice heres depth perception dementia aging adults may face difficulty depth perception thats need know,Donald Trump,negative,not available
trump vance alway maga strong,Donald Trump,positive,not available
like garbage truck truck honor kamala joe biden,Kamala Harris,not available,negative
trump riding shotgun garbage truck honor kamala joe pretty strange,Both,neutral,negative
south korean passionately support trump unless youre monkey know getting us back track wont hurt allies public opinion supporting us president south korea split exactly half like public opinion us harris policy already implemented south korea seven years ago experiencing numerous job losses plummeting currency value south koreas economy yet known outside world serious state,Both,positive,negative
hey get rid garbage called scamala harris nov th,Kamala Harris,not available,negative
im still waiting kamala show shift mcdonalds boston looks like call show,Kamala Harris,not available,negative
trump mejor mentiroso usa kamala justa presidenta november,Both,negative,positive
un dictador se reconoce por odio racial trump kamala es justa presidenta usa november,Both,negative,positive
trump,Donald Trump,positive,not available
love trump hangs laborers kamala taylor swift million viewers watched joe rogan kamala invited refused neighborhood wouldnt conversation popular podcaster million viewers afraid night asked real questions policies knows rogan fact checks everything knows guests hes fair shes telling truth nothing fear fact checked lied trumps policies distorted statements see listening full interviews sound bites mainstream media wants hear,Both,positive,negative
indian living canada dear americans please vote trump good whole world america strong world peaceful everywhere war peace capable kamala biden,Both,positive,negative
watch image open truck remind biden opinion call trump sleeper,Donald Trump,positive,not available
ivana trump divorced donald trump grounds cruel inhumane treatment,Donald Trump,negative,not available
give man presidency already bye bye kamala,Kamala Harris,not available,negative
joe kamala locked prison done country,Kamala Harris,not available,negative
voted kamala,Kamala Harris,not available,positive
crazy hypothetical trump wins election biden passes away sometime novemberth inauguration day kamala would take president month half would serious problem,Both,positive,negative
lmao classic trump,Donald Trump,positive,not available
kamala future america worldshe want make wombs killer rooms power amarica always import peoplealso american policy ripple effect across planet vote kamala save amarrica human civilization,Kamala Harris,not available,negative
hear comedian harris event said mexicans thefts kamala hates mexicans,Kamala Harris,not available,negative
switch back trump save percent everything plus secure borders new wars us taxpayers paying benifits kamalas million unvetted migrants,Both,positive,negative
need generational shift older gentlemen like biden trump talk say lot nonsense let harris chance even though shes super exciting alternative nightmare wish best understand even support trump even though deeply disagree,Both,negative,neutral
abc another lying left wing propaganda arm biden harris,Kamala Harris,not available,negative
like garbage truck truck honor kamala joe biden man must president,Kamala Harris,not available,negative
thats good man people devils work kamala,Kamala Harris,not available,negative
harris thinks shes good ride one,Kamala Harris,not available,negative
see latest kamala campaign ad trump orange suit saying ill whether women like,Both,neutral,neutral
kamala harris win,Kamala Harris,not available,positive
trump brilliant trump carry garbage dc trump fix harrisbiden disaster,Both,positive,negative
photo oval offices wall president harris time office forever show visitors white house much values former presidents service beautifully shows sort work former american president capable specializes right job picking garbage trump indee make america clean maca new tv show guests driving rounds emptying dust bins rallying dump photo ops,Both,negative,positive
trumps focus strictly get country back actually run need sugar coat anything kamalas focus simply win minorities vote usual speeches promises get office first female president,Both,positive,negative
hahaha trump garbage truck appropriate,Donald Trump,neutral,not available
trump keep garbage truck hand sleepy joe horrible harris need lift white house next january,Both,positive, negative
support president trump,Donald Trump,positive,not available
love warrior president trump,Donald Trump,positive,not available
need donald trump canada,Donald Trump,positive,not available
voted red line go trump,Donald Trump,positive,not available
trump corrupt,Donald Trump,negative,not available
trump leader usa wake,Donald Trump,negative,not available
trump protect women like taliban,Donald Trump,positive,not available
months ago kamala rate lie changed rate,Kamala Harris,not available,negative
trump garbage,Donald Trump,negative,not available
trump habit denying people done something behalf,Donald Trump,negative,not available
trump smart funnyi hope pray president,Donald Trump,positive,not available
voting trump keeping boys away democrats,Donald Trump,positive,not available
donald trump genius liked trolls opponents,Donald Trump,positive,not available
anyone supporting kamala point brainwashed please go watch matrix learn youve blue pilled rest us voting red know truth legacy media hiding abc cbs nbc msnbc dem controlled brainwashed think say whatever say anyone checked media news sources woken legacy media brainwashing,Kamala Harris,not available,negative
trump rockedkamala shocked,Both,positive,negative
choose harris tax year unrealised profits house savings stock capital gains tax house stocks savings sell remember already paid tax year price ceiling unemployment empty shops bankruptcy tax china products higher taxes usa products corporate tax corporates moving usa bankruptcy unemployment inflation coming years make poor hell government controlled harris turn usa german ddr calling democracy hell earth european saw nearby dont want happen visit ddr museum berlin look facts personalitys,Kamala Harris,not available,positive
disgusting biden kamala think half americans garbage,Kamala Harris,not available,negative
dont see kamala anything like relate working class cackles awkwardly staged show,Kamala Harris,not available,negative
